id,name,country_code,country,hand,age,url,date_accessed
22965,SANCHEZ GUERRERO Angela Nataly,COL,COLOMBIA,Right,30,https://fie.org/athletes/22965,13/05/2021 21:51
29115,HUO Xingxin,CHN,CHINA,Left,25,https://fie.org/athletes/29115,13/05/2021 21:43
37308,PAPUCHI Alejandra,URU,URUGUAY,Right,38,https://fie.org/athletes/37308,13/05/2021 21:43
22972,ZHANG Yixin,CHN,CHINA,Right,32,https://fie.org/athletes/22972,13/05/2021 21:51
29118,OROSHAZI Csilla,HUN,HUNGARY,Left,45,https://fie.org/athletes/29118,13/05/2021 21:43
47552,AUNG Phyu Phyu,MM,MYANMAR,Right,24,https://fie.org/athletes/47552,13/05/2021 21:51
47553,SOE Nan Ei,MM,MYANMAR,Right,19,https://fie.org/athletes/47553,13/05/2021 21:51
31171,CAMPOS ESQUIVEL Andrea,CRC,COSTA RICA,Right,24,https://fie.org/athletes/31171,13/05/2021 21:51
39361,FLODESA Flodesa,INA,INDONESIA,Right,27,https://fie.org/athletes/39361,13/05/2021 21:51
10689,RASHIDOVA Yulia,RUS,RUSSIA,Left,34,https://fie.org/athletes/10689,13/05/2021 21:33
39367,LAZAREVA-SKRANZHEVSKAYA Yana,BLR,BELARUS,Right,20,https://fie.org/athletes/39367,13/05/2021 21:52
47560,FITZGERALD Imogen,AUS,AUSTRALIA,Right,22,https://fie.org/athletes/47560,13/05/2021 21:52
39369,KHMIALNITSKAYA Aliaksandra,BLR,BELARUS,Right,24,https://fie.org/athletes/39369,13/05/2021 21:52
45518,LIN Annie,CAN,CANADA,Right,18,https://fie.org/athletes/45518,13/05/2021 21:43
45523,ALIOGLU Nazli Ceren,TUR,TURKEY,Left,18,https://fie.org/athletes/45523,13/05/2021 21:44
18901,KWOK Rachel,GBR,GREAT BRITAIN,Right,32,https://fie.org/athletes/18901,13/05/2021 21:33
45524,TASDELEN Melike,TUR,TURKEY,Right,18,https://fie.org/athletes/45524,13/05/2021 21:44
39379,PUKHOUSKAYA Valeryia,BLR,BELARUS,Right,23,https://fie.org/athletes/39379,13/05/2021 21:52
33242,AINI Nurul,INA,INDONESIA,Left,23,https://fie.org/athletes/33242,13/05/2021 21:20
31197,PURNAMAWATI Herlin Erviana,INA,INDONESIA,Left,29,https://fie.org/athletes/31197,13/05/2021 21:52
27104,CLARKE Ruth,GBR,GREAT BRITAIN,Left,28,https://fie.org/athletes/27104,13/05/2021 21:33
45537,BARTALOVA Vivien,SVK,SLOVAKIA,Right,19,https://fie.org/athletes/45537,13/05/2021 21:44
51683,SABATINI Isabella,CAN,CANADA,Right,18,https://fie.org/athletes/51683,13/05/2021 21:33
47590,ANANDA Mery,INA,INDONESIA,Right,22,https://fie.org/athletes/47590,13/05/2021 21:52
45546,GROENINGER Malina,GER,GERMANY,Right,19,https://fie.org/athletes/45546,13/05/2021 21:44
35308,SOKOLOVSKAJA Margarita,AUS,AUSTRALIA,Left,31,https://fie.org/athletes/35308,13/05/2021 21:33
49649,NEZAR Shahd,EGY,EGYPT,Right,18,https://fie.org/athletes/49649,13/05/2021 21:20
49650,NAHHAS Nadine,EGY,EGYPT,Left,23,https://fie.org/athletes/49650,13/05/2021 21:20
10737,NUNEZ ROSARIO Carmen,DOM,DOMINICAN REPUBLIC,Right,31,https://fie.org/athletes/10737,13/05/2021 21:33
