competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
1218,2015,Tournoi satellite,Senior,TURKEY,15/11/2014,16/11/2014,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2015/1218,2015-1218,
127,2018,The Artus Court PKO BP,Senior,POLAND,12/01/2018,13/01/2018,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2018/127,2018-127,
1073,2016,Championnats de qualifications panaméricains,Senior,COSTA RICA,15/04/2016,15/04/2016,Foil,Womens,America/Costa_Rica,https://fie.org/competitions/2016/1073,2016-1073,
1245,2015,Jeux Européens,Senior,AZERBAIJAN,24/06/2015,24/06/2015,Foil,Womens,Asia/Baku,https://fie.org/competitions/2015/1245,2015-1245,
1079,2016,Championnats de qualification européens,Senior,CZECH REPUBLIC,16/04/2016,16/04/2016,Foil,Womens,Europe/Prague,https://fie.org/competitions/2016/1079,2016-1079,
1014,2017,Championnats asiatiques,Senior,HONG KONG- CHINA,16/06/2017,16/06/2017,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2017/1014,2017-1014,
800,2018,Championnats Panaméricains,Senior,CUBA,17/06/2018,17/06/2018,Foil,Womens,America/Havana,https://fie.org/competitions/2018/800,2018-800,
1067,2016,Championnats de qualification Asie-Océanie,Senior,CHINA,11/04/2016,11/04/2016,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2016/1067,2016-1067,
125,2016,Coupe du Monde,Senior,MEXICO,16/10/2015,17/10/2015,Foil,Womens,America/Cancun,https://fie.org/competitions/2016/125,2016-125,
800,2017,Championnats Panaméricains,Senior,CANADA,15/06/2017,15/06/2017,Foil,Womens,America/Toronto,https://fie.org/competitions/2017/800,2017-800,
740,2018,Championnats d'Europe,Senior,SERBIA,17/06/2018,17/06/2018,Foil,Womens,Europe/Belgrade,https://fie.org/competitions/2018/740,2018-740,
118,2017,Coupe du Monde,Senior,FRANCE,04/11/2016,05/11/2016,Foil,Womens,Europe/Paris,https://fie.org/competitions/2017/118,2017-118,
118,2016,Coupe du Monde,Senior,FRANCE,06/11/2015,07/11/2015,Foil,Womens,Europe/Paris,https://fie.org/competitions/2016/118,2016-118,
458,2015,Grand Prix,Senior,ITALY,28/11/2014,29/11/2014,Foil,Womens,Europe/Rome,https://fie.org/competitions/2015/458,2015-458,
1377,2018,Tournoi Satelite,Senior,DENMARK,27/05/2018,27/05/2017,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2018/1377,2018-1377,
125,2017,Coupe du Monde,Senior,MEXICO,14/10/2016,15/10/2016,Foil,Womens,America/Cancun,https://fie.org/competitions/2017/125,2017-125,
243,2015,Championnats du Monde,Senior,RUSSIA,15/07/2015,16/07/2015,Foil,Womens,Europe/Moscow,https://fie.org/competitions/2015/243,2015-243,
397,2015,Tournoi satellite,Senior,MEXICO,15/10/2014,16/10/2014,Foil,Womens,America/Cancun,https://fie.org/competitions/2015/397,2015-397,
122,2016,Reinhold-Würth-Cup,Senior,GERMANY,20/05/2016,21/05/2016,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2016/122,2016-122,
